symbol,date,close_price
PETR4,2025-09-03,30.15
BBDC4,2025-09-07,62.92
ABEV3,2025-09-07,63.76
VALE3,2025-09-25,33.95
ABEV3,2025-09-29,75.84
ITUB4,2025-09-14,44.18
BBDC4,2025-09-12,35.0
ITUB4,2025-09-27,55.56
ITUB4,2025-09-30,70.41
PETR4,2025-09-25,75.91
PETR4,2025-09-02,76.83
PETR4,2025-09-18,78.49
ABEV3,2025-09-19,60.07
ITUB4,2025-09-15,24.97
ITUB4,2025-09-16,74.45
ABEV3,2025-09-17,25.46
VALE3,2025-09-26,41.51
BBDC4,2025-09-17,61.96
BBDC4,2025-09-01,50.79
ITUB4,2025-09-21,26.3
BBDC4,2025-09-14,68.6
PETR4,2025-09-02,25.93
VALE3,2025-09-08,74.51
BBDC4,2025-09-16,78.76
PETR4,2025-10-01,35.52
ABEV3,2025-10-01,79.53
ITUB4,2025-09-04,29.44
ITUB4,2025-09-11,62.61
PETR4,2025-10-01,62.52
PETR4,2025-09-21,77.61
BBDC4,2025-09-11,30.05
VALE3,2025-09-18,37.9
BBDC4,2025-09-25,36.43
ABEV3,2025-09-07,54.09
VALE3,2025-09-06,21.94
ITUB4,2025-09-12,44.25
VALE3,2025-09-24,24.28
VALE3,2025-09-30,32.71
ITUB4,2025-09-08,70.86
VALE3,2025-09-05,69.91
VALE3,2025-09-01,30.49
VALE3,2025-09-27,57.42
ABEV3,2025-09-04,62.59
PETR4,2025-09-07,48.48
BBDC4,2025-09-07,59.96
PETR4,2025-09-11,68.65
PETR4,2025-09-29,71.44
PETR4,2025-09-25,66.16
ABEV3,2025-09-30,28.43
VALE3,2025-09-08,36.32
VALE3,2025-09-25,45.11
ITUB4,2025-09-13,70.83
ABEV3,2025-09-23,45.54
VALE3,2025-09-25,36.83
ABEV3,2025-09-25,74.76
BBDC4,2025-09-24,76.42
ITUB4,2025-09-24,73.08
BBDC4,2025-09-16,78.55
VALE3,2025-09-11,74.23
ITUB4,2025-09-13,70.35
BBDC4,2025-09-20,64.53
PETR4,2025-09-25,62.0
BBDC4,2025-09-03,42.43
ITUB4,2025-09-07,70.68
BBDC4,2025-09-21,64.28
ABEV3,2025-09-03,41.96
ITUB4,2025-09-07,30.77
BBDC4,2025-09-04,52.85
ABEV3,2025-09-06,47.34
BBDC4,2025-09-06,76.94
PETR4,2025-09-23,74.69
VALE3,2025-10-01,20.03
BBDC4,2025-09-14,42.86
ITUB4,2025-09-22,20.75
BBDC4,2025-09-15,70.59
VALE3,2025-09-28,51.27
PETR4,2025-09-11,23.76
VALE3,2025-09-30,46.94
VALE3,2025-09-10,79.23
VALE3,2025-09-27,68.64
BBDC4,2025-09-18,29.74
PETR4,2025-09-20,65.36
VALE3,2025-09-16,41.15
VALE3,2025-09-29,52.65
BBDC4,2025-09-05,79.72
ABEV3,2025-09-19,48.27
BBDC4,2025-09-08,37.62
PETR4,2025-09-25,38.35
PETR4,2025-09-03,41.11
BBDC4,2025-09-21,34.24
ITUB4,2025-09-28,57.68
BBDC4,2025-09-17,73.21
ABEV3,2025-09-03,53.38
ABEV3,2025-09-09,73.9
BBDC4,2025-09-22,39.03
ABEV3,2025-09-21,72.26
PETR4,2025-09-19,69.19
ABEV3,2025-09-24,22.18
ITUB4,2025-09-01,28.77
PETR4,2025-09-05,20.51
ITUB4,2025-09-18,36.35
BBDC4,2025-09-10,51.63
ABEV3,2025-09-17,50.79
ITUB4,2025-09-20,21.14
BBDC4,2025-09-05,49.25
PETR4,2025-09-27,73.16
BBDC4,2025-09-07,77.46
ABEV3,2025-09-17,60.5
ITUB4,2025-09-11,41.48
BBDC4,2025-09-26,72.49
PETR4,2025-09-27,42.11
ABEV3,2025-09-10,57.1
VALE3,2025-09-22,20.09
BBDC4,2025-09-24,29.66
PETR4,2025-09-08,67.93
PETR4,2025-09-11,57.99
ABEV3,2025-09-30,61.23
ITUB4,2025-09-13,43.7
PETR4,2025-09-16,44.49
BBDC4,2025-09-14,33.3
BBDC4,2025-09-13,65.04
BBDC4,2025-09-02,62.78
BBDC4,2025-09-29,36.92
ITUB4,2025-09-05,36.32
BBDC4,2025-09-01,42.85
PETR4,2025-09-02,64.36
PETR4,2025-09-14,79.77
PETR4,2025-09-08,64.04
ITUB4,2025-09-26,49.16
ABEV3,2025-09-16,53.28
PETR4,2025-09-19,45.27
BBDC4,2025-09-17,32.48
ITUB4,2025-09-05,23.87
PETR4,2025-09-03,32.08
PETR4,2025-09-16,35.88
ITUB4,2025-09-22,64.38
VALE3,2025-09-20,66.71
ITUB4,2025-09-12,53.57
PETR4,2025-09-14,44.25
PETR4,2025-09-20,65.97
PETR4,2025-09-24,51.61
ITUB4,2025-09-02,33.27
VALE3,2025-09-15,57.94
ITUB4,2025-09-28,72.91
VALE3,2025-09-04,32.56
ITUB4,2025-09-23,48.14
PETR4,2025-10-01,53.09
ITUB4,2025-09-21,56.78
ITUB4,2025-09-30,44.6
ITUB4,2025-09-03,20.57
BBDC4,2025-09-03,38.89
PETR4,2025-09-26,77.95
ABEV3,2025-09-25,51.67
VALE3,2025-09-22,68.95
PETR4,2025-09-30,74.86
VALE3,2025-09-05,66.36
PETR4,2025-09-12,30.29
VALE3,2025-09-18,78.55
PETR4,2025-09-27,48.49
PETR4,2025-09-11,40.57
PETR4,2025-09-01,40.42
VALE3,2025-09-04,46.9
ITUB4,2025-09-22,20.49
ABEV3,2025-09-16,45.71
PETR4,2025-09-23,21.24
VALE3,2025-09-23,44.39
BBDC4,2025-10-01,78.65
ABEV3,2025-09-14,22.64
BBDC4,2025-09-02,39.17
PETR4,2025-09-07,54.94
PETR4,2025-09-05,29.62
ABEV3,2025-09-11,71.02
ITUB4,2025-09-12,74.09
VALE3,2025-09-23,77.47
BBDC4,2025-09-13,48.17
ABEV3,2025-09-26,29.27
PETR4,2025-09-15,33.86
PETR4,2025-09-21,39.87
ABEV3,2025-09-07,51.61
BBDC4,2025-09-03,67.75
BBDC4,2025-09-17,58.19
ITUB4,2025-09-25,37.58
PETR4,2025-09-15,48.29
BBDC4,2025-09-06,50.27
BBDC4,2025-09-02,36.01
ABEV3,2025-09-27,50.66
BBDC4,2025-09-07,51.69
BBDC4,2025-09-20,20.4
BBDC4,2025-09-24,28.36
ABEV3,2025-09-28,77.12
BBDC4,2025-09-10,58.14
PETR4,2025-09-04,21.88
VALE3,2025-09-13,78.58
ITUB4,2025-09-28,43.56
ITUB4,2025-09-29,46.05
BBDC4,2025-09-22,23.91
ITUB4,2025-09-03,22.3
BBDC4,2025-09-28,75.67
ITUB4,2025-09-10,24.58
BBDC4,2025-09-26,25.23
VALE3,2025-09-20,73.97
ABEV3,2025-09-21,24.7
PETR4,2025-09-21,61.21
PETR4,2025-09-21,34.31
ABEV3,2025-09-21,72.04
BBDC4,2025-09-12,59.81
VALE3,2025-09-27,33.64
ABEV3,2025-09-16,28.74
ABEV3,2025-09-12,68.96
ITUB4,2025-09-19,52.42
ITUB4,2025-09-30,37.79
BBDC4,2025-09-16,57.37
ABEV3,2025-10-01,44.83
PETR4,2025-09-19,25.32
VALE3,2025-09-27,47.63
ABEV3,2025-09-28,70.0
BBDC4,2025-09-04,35.16
ABEV3,2025-09-14,37.63
BBDC4,2025-09-07,51.72
BBDC4,2025-09-01,47.15
VALE3,2025-09-25,45.87
BBDC4,2025-09-03,59.18
PETR4,2025-09-05,71.06
ITUB4,2025-09-12,45.56
ITUB4,2025-09-16,40.41
BBDC4,2025-09-14,77.81
VALE3,2025-09-15,29.0
BBDC4,2025-09-18,45.22
BBDC4,2025-09-28,65.29
VALE3,2025-09-14,35.04
ITUB4,2025-09-24,61.17
ABEV3,2025-09-29,58.87
PETR4,2025-09-26,59.55
ITUB4,2025-09-07,53.88
VALE3,2025-09-04,25.46
PETR4,2025-09-23,63.9
PETR4,2025-09-11,38.95
VALE3,2025-09-08,42.84
PETR4,2025-09-11,37.46
BBDC4,2025-09-19,73.43
ITUB4,2025-10-01,50.95
VALE3,2025-09-03,44.6
BBDC4,2025-09-09,26.69
BBDC4,2025-09-11,21.33
PETR4,2025-09-03,45.85
BBDC4,2025-09-01,74.24
ITUB4,2025-09-04,34.17
PETR4,2025-09-03,39.01
ITUB4,2025-09-28,39.09
ABEV3,2025-09-04,23.17
ITUB4,2025-09-08,72.35
VALE3,2025-09-05,47.66
VALE3,2025-09-18,72.65
VALE3,2025-09-28,52.18
BBDC4,2025-09-15,73.56
BBDC4,2025-10-01,74.08
BBDC4,2025-09-29,24.5
BBDC4,2025-09-09,33.37
BBDC4,2025-09-09,25.21
ITUB4,2025-09-10,62.97
PETR4,2025-09-09,67.61
ABEV3,2025-09-13,64.3
PETR4,2025-09-09,25.29
ITUB4,2025-09-08,24.59
VALE3,2025-09-06,30.63
ABEV3,2025-09-11,61.85
ABEV3,2025-09-07,49.69
ABEV3,2025-09-06,31.29
BBDC4,2025-09-19,50.44
VALE3,2025-09-13,67.31
BBDC4,2025-09-19,48.09
ITUB4,2025-09-27,23.94
ABEV3,2025-09-06,76.75
BBDC4,2025-09-23,22.7
ITUB4,2025-09-10,50.69
PETR4,2025-09-28,58.05
VALE3,2025-09-26,49.38
VALE3,2025-09-11,57.32
ITUB4,2025-09-11,24.96
ITUB4,2025-10-01,25.41
ITUB4,2025-09-10,48.46
PETR4,2025-10-01,59.18
ITUB4,2025-09-23,67.56
ITUB4,2025-09-16,54.46
ABEV3,2025-09-14,44.04
ABEV3,2025-09-27,35.32
ABEV3,2025-09-27,21.99
ITUB4,2025-09-07,75.06
BBDC4,2025-09-26,21.15
PETR4,2025-09-13,47.02
BBDC4,2025-09-09,49.07
VALE3,2025-09-13,43.29
PETR4,2025-09-03,57.23
ITUB4,2025-09-27,61.95
ITUB4,2025-09-27,25.17
ABEV3,2025-09-16,76.1
